year,Temperature
-799712,-8.82
-798639,-8.92
-797551,-8.88
-796493,-8.54
-795458,-8.73
-794499,-8.53
-793606,-8.23
-792758,-7.33
-791926,-6.51
-791129,-5.91
-790381,-5.61
-789668,-5.05
-788987,-4.27
-788332,-3.7
-787685,-3.09
-787069,-2.59
-786492,-2.37
-785935,-1.75
-785348,-0.54
-784756,-0.63
-784155,-1.04
-783520,-1.05
-782880,-1.15
-782223,-1.71
-781578,-1.7
-780906,-2.04
-780230,-1.84
-779569,-2.28
-778913,-2.37
-778259,-2.17
-777599,-2.13
-776923,-2.17
-776251,-2.34
-775586,-2.67
-774911,-2.7
-774209,-2.69
-773492,-2.96
-772753,-3.47
-772007,-3.82
-771289,-4.13
-770603,-4.52
-769957,-4.32
-769299,-3.93
-768609,-3.8
-767881,-3.84
-767122,-4.54
-766349,-5.33
-765608,-6.0
-764930,-6.4
-764288,-6.22
-763678,-5.56
-763066,-5.1
-762449,-4.76
-761811,-4.72
-761133,-5.16
-760437,-5.78
-759742,-6.72
-759072,-7.33
-758467,-7.27
-757888,-7.12
-757332,-6.43
-756807,-6.07
-756315,-5.77
-755808,-5.3
-755270,-5.09
-754693,-5.5
-754110,-6.25
-753525,-7.22
-752936,-7.54
-752350,-7.79
-751766,-7.97
-751189,-8.24
-750611,-8.37
-750040,-8.42
-749478,-8.59
-748928,-8.58
-748372,-8.5
-747816,-8.32
-747253,-8.44
-746692,-8.6
-746141,-8.69
-745570,-8.63
-744997,-8.62
-744425,-8.56
-743832,-8.56
-743221,-8.41
-742595,-8.67
-741984,-8.84
-741375,-8.95
-740757,-8.6
-740136,-8.47
-739515,-8.25
-738917,-8.24
-738344,-8.08
-737828,-7.16
-737327,-6.27
-736849,-5.62
-736344,-5.38
-735859,-4.76
-735404,-4.52
-734887,-4.47
-734405,-4.03
-733905,-3.72
-733386,-3.99
-732893,-4.15
-732377,-3.95
-731853,-3.93
-731291,-3.79
-730652,-4.2
-729996,-4.85
-729381,-5.28
-728759,-5.23
-728100,-5.31
-727419,-5.69
-726712,-5.83
-725998,-6.05
-725263,-5.96
-724585,-6.1
-723852,-5.07
-723032,-5.18
-722283,-5.75
-721528,-7.14
-720584,-8.32
